id,value
id_0,25.701606348406493
id_1,64.45569402787974
id_2,19.40934102595871
id_3,28.54262722536816
id_4,9.27656141320169
id_5,30.173648920872733
id_6,41.59811303184219
id_7,16.367231635121925
id_8,50.77202476931279
id_9,32.67173885015633
id_10,37.78100558387987
id_11,58.401669023636586
id_12,35.79592695197937
id_13,38.04836026549343
id_14,29.006595517550423
id_15,11.946054591405755
id_16,51.36272852676407
id_17,22.68872707022207
id_18,15.50314875931873
id_19,17.451046179315505
id_20,15.483939562246126
id_21,29.49290645827983
id_22,39.97322245369213
id_23,9.980079395153112
id_24,61.40507973464257
id_25,45.865361070253975
id_26,26.517872862961397
id_27,7.5115772711486475
id_28,29.369456511050398
id_29,35.552395827378206
id_30,17.638375801925584
id_31,11.52246959858121
id_32,16.586291637479448
id_33,7.574827856527606
id_34,16.047865630720867
id_35,43.57840901206087
id_36,23.035086573427872
id_37,27.816924941683936
id_38,10.442438505385732
id_39,56.95920169887617
id_40,46.009262099644914
id_41,20.54798224741164
id_42,53.49942115096507
id_43,18.533343311321534
id_44,43.708130771204736
id_45,50.06414517460155
id_46,58.192669472333826
id_47,40.89292337069734
id_48,54.619680460276534
id_49,38.9121224337005
id_50,30.882692640756837
id_51,22.837469930730272
id_52,42.04808486665609
id_53,25.189198380922544
id_54,36.514599154318496
id_55,38.57861356723619
id_56,24.49549276339686
id_57,20.96535856452096
id_58,35.93626924063856
id_59,33.04318785952917
id_60,11.763684736560652
id_61,24.077525612824918
id_62,31.358356820752796
id_63,51.68776193813218
id_64,49.94949837371258
id_65,26.20350692430613
id_66,37.7945079737868
id_67,52.05886427063993
id_68,29.31056378430177
id_69,38.92391949348948
id_70,64.85061721171991
id_71,55.59302846619989
id_72,42.445450372991594
id_73,14.511038324254912
id_74,13.680598316312071
id_75,35.2842501235622
id_76,62.94726036607095
id_77,2.1941217549049723
id_78,42.27141714767197
id_79,41.69688165893652
id_80,8.799091538662788
id_81,21.072943902243388
id_82,5.9478284208820655
id_83,32.064396872541906
id_84,7.958511911704299
id_85,4.96828076577033
id_86,17.079309726088685
id_87,11.755109459256218
id_88,18.138233260904936
id_89,21.896845162916495
id_90,35.42576446837641
id_91,12.459781444713059
id_92,11.503439401218051
id_93,10.64403402666122
id_94,36.87619374538622
id_95,15.175895811539396
id_96,17.305526193840592
id_97,9.161899646308086
id_98,10.491299428450171
id_99,4.8371435099172775
id_100,10.270341889252615
id_101,18.774511917649342
id_102,11.346168438716123
id_103,9.175888350236233
id_104,13.007596520190448
id_105,36.581480939480365
id_106,22.814272307282167
id_107,8.38709210042604
id_108,17.484289351967966
id_109,16.124289330758174
id_110,11.092092252353584
id_111,14.652156285195167
id_112,16.424509236297908
id_113,24.636246912247376
id_114,20.108412506076704
id_115,15.46600420066192
id_116,9.12733285327328
id_117,43.562366072045194
id_118,25.60478139800543
id_119,0.9789917148068354
id_120,0.2614752455225968
id_121,10.395487710900932
id_122,12.482992109379369
id_123,11.895455247936646
id_124,7.224751782098683
id_125,25.08179221934256
id_126,23.667483655234125
id_127,9.173208787240755
id_128,19.44552771808001
id_129,13.11538539033807
id_130,-0.3933133349646023
id_131,31.93328824202319
id_132,15.51580333780781
id_133,22.028791486286458
id_134,26.97115784223711
id_135,25.356015102735636
id_136,9.908008572163858
id_137,22.837686057294356
id_138,78.24188719825655
id_139,62.937341420117015
id_140,27.781393303078787
id_141,18.913079856645762
id_142,24.51769447313241
id_143,7.2259101344806
id_144,14.40456464608058
id_145,9.481704426161338
id_146,19.7250506008635
id_147,7.391568594381299
id_148,12.310708369976311
id_149,16.32728251426741
id_150,45.45550816112215
id_151,19.24142411044332
id_152,21.825602235661446
id_153,13.95625427490354
id_154,14.17630882764061
id_155,23.611923591426255
id_156,24.219908124922654
id_157,37.15261028010934
id_158,3.4243397785423006
id_159,22.635507751679143
id_160,41.34481396942133
id_161,19.197974127078414
id_162,60.52281096783321
id_163,16.532487250129826
id_164,34.02515634956509
id_165,25.122241081977077
id_166,22.035027830697537
id_167,0.5646297172338008
id_168,68.68012622280727
id_169,16.118519409219747
id_170,15.997034389758799
id_171,70.61398142997956
id_172,20.557597844984063
id_173,2.5813741732787334
id_174,24.130950630955823
id_175,-0.12506859361671951
id_176,9.008962853736561
id_177,18.116660723408
id_178,22.542002464502477
id_179,24.224702498074574
id_180,42.426911092860294
id_181,34.299556000587955
id_182,30.80259807959984
id_183,14.684387520754528
id_184,7.304340718390401
id_185,42.141877234153434
id_186,35.80671415869015
id_187,33.81344017708677
id_188,15.189672922502247
id_189,24.53371582382335
id_190,14.375703076952046
id_191,15.004678983707946
id_192,29.743447383454267
id_193,73.77007581802596
id_194,31.9144311132789
id_195,10.80362620706753
id_196,62.11242890970385
id_197,17.87587297426764
id_198,19.9641157445146
id_199,20.868638426241112
id_200,122.7393391059128
id_201,22.79905970701407
id_202,58.38570728013524
id_203,4.326510460622664
id_204,58.88808708164585
id_205,33.98512759012786
id_206,14.602329288633175
id_207,15.23483690129401
id_208,60.60117270273014
id_209,14.002788591423684
id_210,38.51987973740766
id_211,68.13391334746932
id_212,19.16194654525141
id_213,113.96648885469337
id_214,40.59512217167678
id_215,75.99465313151408
id_216,90.30820848282927
id_217,70.9848156820151
id_218,30.595332416461293
id_219,21.921798928393617
id_220,30.176640084240713
id_221,56.35319804432866
id_222,25.838322146481197
id_223,38.6734179325249
id_224,42.960622916369175
id_225,9.651197995016947
id_226,5.944727766822528
id_227,81.61204075904007
id_228,29.215201786622515
id_229,1.9120325702060585
id_230,39.865688829884846
id_231,14.807016866210287
id_232,22.35528139551776
id_233,6.9956263800580905
id_234,16.06887373540078
id_235,25.134528446975427
id_236,14.403167145810766
id_237,3.527323341791022
id_238,23.179122676164667
id_239,13.159372376575991
